,income
5514,False
19777,False
10781,False
32240,False
9876,False
5455,False
8615,False
29805,True
15081,False
17203,False
9747,True
12114,False
327,False
231,True
13770,True
5860,False
3272,False
27240,False
24431,False
7743,False
6951,True
21032,False
14778,False
11423,True
26009,True
16066,False
30825,False
10276,False
75,True
4,False
14242,False
20097,False
1108,False
11804,False
16461,True
2209,True
13609,False
28175,True
2386,True
21582,False
748,True
11146,False
22713,False
4825,False
27984,False
24498,False
11807,False
5937,True
29726,False
16178,False
1261,False
2359,True
1599,True
14170,True
21078,False
476,True
14221,False
10290,False
18846,False
17305,False
4048,False
10045,False
27941,False
11275,False
20946,False
259,False
30329,False
20512,False
16472,False
5815,False
30607,False
23261,False
5045,False
28934,True
13764,False
11012,False
6428,False
3537,False
8477,False
11919,False
23404,False
18364,True
9570,False
17546,False
26138,True
32238,True
23176,False
2701,True
24461,False
27565,False
10227,False
4455,False
14375,False
18560,False
8054,False
13617,False
26913,True
30038,False
547,True
19011,False
19058,False
21211,False
18721,False
24544,False
14492,False
6939,True
10439,False
13177,False
30074,False
26481,False
24349,True
8557,False
2619,True
3504,False
24598,False
14815,False
30705,False
8846,False
26058,False
1796,True
32200,False
19260,True
16308,False
14353,True
11291,False
15102,False
10556,True
32056,False
7174,False
8135,False
8688,False
4685,True
20052,True
6505,True
12594,False
20477,False
11815,True
15306,False
4097,False
26053,False
3418,False
17147,False
23179,False
18692,False
9687,False
31790,False
2740,True
17829,True
10959,False
6690,False
7294,True
21064,False
7516,False
16594,True
30551,False
22681,False
9733,False
10718,False
25922,True
14545,False
14637,False
12623,False
6186,False
15459,False
29638,False
5707,False
9103,False
21366,False
25403,False
21832,False
12619,False
25509,False
24675,False
2864,True
26234,False
20472,False
17657,True
8390,False
20064,False
5496,True
32547,True
8124,True
23537,False
2870,True
12909,False
3988,False
22579,False
2350,True
29539,False
27608,False
16828,True
5512,False
11004,False
25811,False
17167,True
29948,False
5214,True
21278,False
13340,False
20506,False
28220,False
21287,False
14395,True
4003,False
12659,False
24789,False
6625,False
32337,False
3002,True
3016,True
17621,True
734,True
30645,False
29290,False
19913,False
14807,False
23747,True
7241,False
29311,False
23287,False
21781,False
4843,True
19927,False
23036,False
20771,False
11686,True
11605,True
17847,False
22891,False
20660,True
6634,False
28189,False
16510,False
4785,False
31788,False
15955,False
16831,False
17381,True
24043,True
26516,True
17385,False
6325,True
24669,False
4471,False
16596,False
21649,True
6550,False
18828,False
8426,False
24576,False
10643,False
15009,False
30189,False
27171,False
7685,False
1580,True
28750,False
1911,True
22325,False
91,True
8544,False
21171,False
188,True
16621,True
11904,False
7672,True
7175,False
7755,False
22030,False
29134,False
21265,False
10203,True
321,False
31283,False
22518,True
22725,False
4740,False
14107,False
8398,False
4291,True
15652,False
22862,False
28430,False
5533,False
194,False
18154,False
2830,True
31531,False
31662,True
6069,False
25877,False
2516,True
31290,False
24019,False
22097,False
27246,False
3930,False
21783,False
756,True
13583,True
23558,False
13432,False
26884,False
24985,False
19507,False
27162,True
27466,False
30364,True
6245,True
9112,False
11770,False
8336,False
1747,True
27879,False
14421,False
19866,False
1052,False
23459,False
24721,False
15486,False
2444,True
5339,True
13837,False
26237,False
13083,False
19463,True
25082,False
19526,True
24812,False
29742,False
31244,False
14433,False
23083,False
30300,False
3628,False
8634,False
6048,False
4793,True
31612,True
21712,False
1349,True
17466,False
4730,False
12729,True
17415,True
26164,False
5711,False
9298,False
20600,False
15354,False
29332,False
25072,False
3753,True
22061,True
895,True
6035,False
29860,False
24094,False
3274,False
1808,True
28613,False
14040,False
25986,False
4814,False
20757,False
4416,True
30127,True
25606,False
6503,False
9006,False
26769,False
265,False
23123,False
21558,False
14938,True
14913,True
30144,False
6029,True
2937,False
21450,False
11915,False
21647,False
29433,False
12560,False
9857,False
8218,False
16658,True
6662,False
7336,False
6779,False
18535,False
11011,False
15122,False
2091,True
7545,False
14766,False
3884,False
24720,False
17527,False
12578,False
13153,False
1829,True
11335,False
2769,True
7289,False
26537,False
9722,False
20560,False
5505,False
23770,False
1809,True
24287,True
25070,False
27817,False
13594,False
28776,False
20945,False
14339,False
7690,False
28350,False
26486,False
7228,True
18128,False
32419,False
27487,False
14929,True
30801,False
21056,False
23871,False
9870,False
22939,False
965,True
10904,True
18270,True
9116,False
18616,False
29384,False
1065,False
18162,False
7779,False
25489,False
31879,True
15244,False
12799,False
32055,False
12233,False
4952,False
11968,False
22213,False
17656,False
28483,True
31407,False
13458,True
20613,False
3082,True
28486,False
28905,False
1592,True
30059,False
32373,False
19980,False
9771,False
17,True
5712,False
11376,False
16175,False
22846,False
27521,False
11776,False
22341,False
16202,True
11118,False
21306,False
2435,True
6688,False
25874,False
6404,False
21868,True
14518,False
20152,False
5163,False
19314,False
10783,False
10798,False
1493,True
2008,True
11131,False
26645,False
26214,False
24706,False
7406,True
24599,False
12347,False
22857,False
22079,False
6120,False
13211,False
31105,False
21676,False
19663,False
2269,True
17224,False
21897,False
27133,False
1801,True
19691,False
21490,False
13712,False
25751,False
26276,False
32135,True
15237,False
9561,False
30681,True
28497,False
25999,False
1303,False
22924,False
13999,False
21157,False
31949,False
13416,False
28647,False
2734,True
8191,False
29701,False
32253,False
30229,False
2546,True
13634,False
17246,False
24761,False
23670,False
15914,False
29088,True
4560,False
2195,True
8824,False
14950,False
1703,True
10381,False
29495,False
1290,False
13170,False
30970,False
22404,False
27785,True
9414,False
9427,False
12573,True
5393,False
27715,True
4678,False
14976,False
26072,False
28158,False
29432,True
5252,False
208,False
10829,False
18003,False
13508,False
396,True
12395,True
4010,False
26321,False
19808,False
30002,False
25587,True
19952,True
27033,False
4110,False
21282,False
19060,False
6944,False
15162,False
25505,False
28260,False
24389,False
21970,True
25780,False
15209,False
26040,False
1595,True
30370,False
7969,False
16591,True
23029,True
22033,False
5982,False
6612,False
32196,False
17644,False
10038,False
14954,False
20688,False
14324,False
28149,False
20743,False
21361,False
24232,False
13094,False
31570,False
7438,False
14853,False
27250,False
482,True
22043,True
772,True
7724,False
7495,False
14495,True
28473,False
6899,False
31553,False
10525,False
5391,False
30143,False
26980,False
3287,True
16262,False
24079,False
15204,False
25648,False
14832,False
31641,False
11127,False
15777,False
27713,False
11262,False
31413,True
2232,True
9210,False
991,False
25356,True
16162,False
25512,True
8871,True
5804,False
14108,False
26946,False
32480,True
2784,True
29823,False
8739,False
3581,False
25059,False
12831,False
3207,True
2319,True
23450,False
20737,False
17752,True
29750,False
8827,False
19855,False
7582,True
1807,True
21824,False
11524,False
1864,True
26024,False
21645,False
27745,False
12214,False
11550,False
23608,False
7891,False
12759,False
14006,False
7578,False
30367,False
8145,False
30598,False
7652,False
11681,False
3399,False
17242,False
12332,False
27164,False
30617,True
3919,False
18524,True
21898,False
14752,False
27338,False
5564,False
3214,True
18724,False
25573,False
25978,True
26462,False
7341,True
25004,False
26460,False
10443,False
26573,True
28563,False
14059,False
23663,False
31355,True
27119,True
3181,False
3757,True
19550,False
30842,False
32150,False
5460,False
22992,False
11233,True
25253,False
27448,False
19412,False
29694,False
28839,False
27336,True
22212,True
10838,False
25628,True
7191,False
3616,False
20556,False
3541,False
24061,True
8025,True
1743,True
29268,False
15956,False
7889,False
18967,False
4950,False
25614,False
1675,True
14803,True
119,True
9898,False
11487,True
5047,True
4119,False
8516,False
25448,False
5245,False
25878,True
3986,False
7573,False
19857,False
11020,True
17163,False
26897,False
15973,False
14381,False
10277,True
29792,False
7570,True
9646,False
21261,True
3142,False
31482,False
30706,False
30385,False
17998,False
20944,True
520,False
385,True
13915,False
24470,False
21561,False
9138,False
10356,False
22741,False
26759,True
139,True
20189,True
28412,False
14442,False
2449,True
16902,True
29511,False
25649,True
26375,False
438,True
23223,False
8288,False
168,True
14750,True
16573,True
10010,False
8591,False
3978,False
31086,False
23063,False
21340,False
3609,False
12792,False
10562,False
4696,False
23976,False
10369,False
27518,False
29136,True
26327,False
681,True
14958,True
29848,False
25115,False
1521,True
15264,False
22132,False
14726,False
6091,False
25152,False
2135,True
8416,False
5202,False
13651,False
21426,False
10765,False
11264,True
2290,True
18930,False
28418,False
17746,False
3021,True
6682,False
459,True
9363,False
24788,True
30172,False
13035,False
13742,False
4459,False
4371,False
20703,False
11153,False
9520,False
24375,False
4289,False
20509,False
30471,False
31947,False
759,True
14428,False
24248,False
11504,True
9273,False
1201,False
29249,False
24342,False
15578,True
6433,False
12687,False
22773,False
2662,False
21961,False
28741,True
1978,True
1280,False
28386,True
29980,False
18153,False
7731,False
4388,False
18671,False
13791,True
6492,False
24695,False
12389,True
13365,False
13630,False
32473,False
1940,True
19014,False
2528,True
2420,True
14584,True
17609,False
4106,False
27106,True
25145,True
31886,False
9090,True
17011,False
25228,False
7640,False
4194,False
5871,False
1075,False
22997,False
8960,False
30507,False
8704,False
21251,False
19395,False
1397,True
5312,False
16601,False
31760,False
22610,False
2859,True
17103,False
27508,False
26302,False
25166,True
16769,True
12272,False
836,True
29560,False
15568,False
10229,False
26217,True
23721,False
19972,False
17983,False
2020,True
30393,False
28646,False
24886,False
22142,False
16711,False
26473,False
19498,False
2916,True
18362,False
12124,True
11282,True
15293,False
6281,False
18303,True
29801,False
19010,True
12649,False
10884,False
10646,False
14465,False
133,True
1334,False
12923,False
14143,False
7,True
4705,False
21010,False
8282,False
20000,False
